complaint_type,city,severity,status
Public Transport,Mumbai,High,Open
Water Supply,Mumbai,Medium,Open
Water Supply,Pune,Critical,Open
Street Lights,Solapur,Critical,Open
Public Transport,Nagpur,Low,Open
Water Supply,Nagpur,Medium,Open
Electricity,Mumbai,Medium,In Progress
Water Supply,Thane,Low,Open
Road Repair,Nashik,Critical,In Progress
Road Repair,Nashik,Low,Open
Water Supply,Mumbai,Critical,Open
Road Repair,Nagpur,High,Resolved
Healthcare,Solapur,Medium,In Progress
Garbage Collection,Mumbai,Critical,Open
Drainage,Kolhapur,Medium,Open
Electricity,Thane,High,Open
Healthcare,Thane,Critical,In Progress
Public Transport,Kolhapur,High,Open
Electricity,Pune,Low,In Progress
Water Supply,Solapur,High,Resolved
Electricity,Solapur,Medium,In Progress
Water Supply,Pune,High,Resolved
Road Repair,Mumbai,Critical,Open
Garbage Collection,Kolhapur,Critical,Open
Electricity,Mumbai,Medium,In Progress
Public Transport,Kolhapur,Medium,In Progress
Public Transport,Thane,Low,Open
Road Repair,Thane,Low,Resolved
Electricity,Kolhapur,Critical,In Progress
Road Repair,Kolhapur,Low,Resolved
Water Supply,Nashik,Medium,In Progress
Road Repair,Pune,High,Resolved
Water Supply,Aurangabad,Medium,In Progress
Electricity,Nashik,High,In Progress
Road Repair,Thane,High,In Progress
Electricity,Kolhapur,Low,In Progress
Electricity,Kolhapur,High,Resolved
Electricity,Aurangabad,Medium,Resolved
Road Repair,Solapur,Critical,Open
Street Lights,Kolhapur,Critical,In Progress
Electricity,Solapur,Critical,Resolved
Electricity,Solapur,Low,In Progress
Healthcare,Nagpur,Low,Resolved
Road Repair,Thane,Medium,Resolved
Street Lights,Nashik,High,Resolved
Electricity,Pune,Critical,Resolved
Street Lights,Thane,High,In Progress
Water Supply,Thane,Low,Resolved
Drainage,Aurangabad,High,Resolved
Electricity,Aurangabad,Critical,Resolved
Public Transport,Solapur,Low,Open
Electricity,Thane,Critical,Resolved
